employee_id,week_number,burnout_label,tasks_planned,tasks_completed,completion_rate,rework_count,focus_sessions,avg_focus_duration,context_switches,idle_time_mins,work_hours_per_day,after_hours_logins,breaks_taken,weekend_work_days,error_rate,submission_delays,revision_requests,mental_fatigue_score
E001,1,Low,15,13,0.906,0,4,71.0,5,23.9,7.3,0,5,0,0.023,1,0,2.2
E001,2,Low,16,15,0.948,0,4,118.2,5,37.5,7.0,1,3,0,0.057,1,1,1.0
E001,3,Low,16,14,0.894,0,6,84.0,5,11.7,7.7,1,4,0,0.067,0,1,2.0
E001,4,Low,11,9,0.857,0,6,100.8,2,2.6,8.9,1,4,0,0.069,0,1,1.2
E001,5,Low,17,15,0.886,0,6,96.6,5,1.4,8.8,1,4,0,0.06,1,1,2.0
E001,6,Low,16,14,0.935,0,4,118.2,3,18.0,7.8,1,4,0,0.064,0,1,2.1
E001,7,Medium,8,6,0.833,1,2,41.7,7,72.4,10.8,2,2,1,0.181,2,2,5.6
E001,8,Medium,14,9,0.653,1,2,53.2,9,57.6,9.0,4,1,1,0.209,2,4,4.1
E001,9,Medium,8,6,0.774,1,4,55.5,9,59.9,9.2,4,2,1,0.2,3,3,5.8
E001,10,Medium,10,7,0.723,1,4,51.4,6,83.3,9.7,3,1,0,0.178,2,3,4.1
E001,11,Medium,10,6,0.656,1,4,44.3,10,70.5,11.7,4,1,0,0.181,2,2,4.2
E001,12,High,8,2,0.355,0,2,22.5,19,150.7,13.5,6,1,1,0.331,6,8,8.1
E001,13,High,15,5,0.393,1,1,18.5,17,128.2,11.2,6,1,1,0.354,4,5,7.4
E001,14,High,12,7,0.621,2,2,14.4,21,156.2,11.5,5,1,2,0.312,6,6,9.1
E001,15,High,17,6,0.397,2,1,15.3,15,140.2,10.2,5,1,1,0.409,5,6,8.6
E001,16,High,8,5,0.635,1,2,21.9,20,160.9,11.0,7,1,2,0.368,5,6,8.2
E002,1,Low,14,12,0.873,0,6,71.2,2,34.3,7.7,1,5,0,0.063,0,0,1.7
E002,2,Low,10,8,0.876,0,4,83.9,4,37.5,7.3,1,3,0,0.027,0,0,2.8
E002,3,Low,16,14,0.884,1,5,118.9,5,21.2,7.5,1,4,0,0.074,0,1,2.3
E002,4,Low,10,8,0.892,0,6,103.6,4,34.3,7.8,0,5,0,0.076,1,1,2.3
E002,5,Low,11,9,0.906,0,4,99.8,2,11.4,7.6,1,4,0,0.047,0,0,1.4
E002,6,Low,13,11,0.886,0,4,70.7,5,26.0,8.7,0,3,0,0.053,0,0,2.3
E002,7,Medium,10,6,0.696,1,3,59.4,8,93.5,10.9,3,1,1,0.197,2,2,4.4
E002,8,Medium,12,9,0.759,1,2,31.3,9,96.4,11.9,2,2,0,0.212,2,2,4.9
E002,9,Medium,15,11,0.759,2,2,32.3,10,63.1,11.6,4,2,1,0.184,2,3,5.4
E002,10,Medium,14,9,0.663,1,3,48.5,11,61.5,9.8,3,2,1,0.211,2,2,5.4
E002,11,Medium,10,7,0.706,1,4,42.6,7,92.0,11.7,3,1,0,0.194,3,2,4.1
E002,12,High,8,3,0.415,1,2,21.6,21,146.3,10.1,5,1,1,0.495,5,6,9.6
E002,13,High,11,3,0.313,1,2,16.1,16,110.2,12.1,5,1,2,0.491,6,8,9.5
E002,14,High,14,6,0.44,2,1,22.7,17,110.6,13.9,6,1,1,0.449,6,7,8.3
E002,15,High,16,6,0.385,1,2,29.3,20,134.3,12.8,5,1,2,0.289,5,8,8.6
E002,16,High,13,6,0.524,1,1,22.8,18,159.0,12.2,6,0,1,0.262,5,8,7.5
